1
Valor       Frequencia

144         3
971         3
337         3
961         3
891         3
501         3
694         3
295         3
435         3
735         3
529         3
629         3
418         3
837         3
842         3
372         2
309         2
382         2
724         2
368         2
747         2
391         2
345         2
396         2
340         2
758         2
322         2
213         2
777         2
780         2
784         2
290         2
801         2
803         2
805         2
833         2
240         2
224         2
311         2
491         2
594         2
603         2
576         2
607         2
564         2
547         2
628         2
531         2
630         2
525         2
522         2
506         2
503         2
646         2
404         2
649         2
478         2
476         2
658         2
460         2
674         2
678         2
683         2
703         2
428         2
710         2
715         2
413         2
411         2
110         2
59         2
962         2
878         2
969         2
986         2
990         2
32         2
76         2
976         2
910         2
142         2
946         2
904         2
936         2
136         2
203         2
938         2
11         2
13         2
204         2
138         2
933         2
668         1
672         1
701         1
659         1
666         1
960         1
952         1
689         1
972         1
690         1
691         1
692         1
693         1
949         1
934         1
948         1
702         1
947         1
707         1
713         1
944         1
939         1
722         1
995         1
991         1
627         1
992         1
621         1
620         1
616         1
615         1
614         1
987         1
610         1
609         1
608         1
997         1
602         1
597         1
596         1
0         1
643         1
657         1
974         1
656         1
651         1
977         1
645         1
644         1
978         1
973         1
981         1
640         1
639         1
633         1
631         1
982         1
985         1
793         1
820         1
815         1
812         1
809         1
869         1
872         1
797         1
796         1
823         1
791         1
788         1
786         1
882         1
884         1
885         1
783         1
888         1
838         1
853         1
848         1
847         1
846         1
844         1
854         1
839         1
857         1
779         1
860         1
861         1
867         1
831         1
830         1
828         1
827         1
826         1
736         1
749         1
917         1
748         1
920         1
746         1
741         1
740         1
738         1
750         1
922         1
929         1
732         1
730         1
931         1
725         1
721         1
720         1
768         1
894         1
903         1
999         1
775         1
774         1
773         1
771         1
770         1
718         1
762         1
756         1
755         1
754         1
913         1
751         1
914         1
194         1
221         1
220         1
217         1
214         1
212         1
208         1
205         1
202         1
198         1
196         1
234         1
193         1
187         1
185         1
182         1
173         1
172         1
171         1
170         1
168         1
167         1
258         1
288         1
287         1
286         1
285         1
282         1
275         1
272         1
269         1
268         1
266         1
166         1
257         1
255         1
254         1
252         1
248         1
247         1
244         1
243         1
238         1
68         1
101         1
100         1
95         1
93         1
91         1
89         1
85         1
80         1
72         1
69         1
102         1
57         1
49         1
46         1
43         1
39         1
31         1
28         1
25         1
17         1
4         1
135         1
162         1
157         1
153         1
152         1
149         1
148         1
147         1
143         1
140         1
139         1
289         1
131         1
130         1
118         1
117         1
111         1
109         1
108         1
104         1
103         1
469         1
502         1
498         1
497         1
493         1
488         1
483         1
479         1
477         1
474         1
473         1
504         1
467         1
462         1
458         1
456         1
455         1
452         1
450         1
449         1
448         1
444         1
559         1
590         1
585         1
582         1
579         1
575         1
573         1
571         1
566         1
563         1
561         1
442         1
552         1
550         1
543         1
542         1
539         1
527         1
515         1
514         1
511         1
317         1
350         1
349         1
342         1
341         1
339         1
335         1
334         1
331         1
328         1
326         1
356         1
316         1
315         1
314         1
313         1
312         1
306         1
304         1
299         1
297         1
292         1
392         1
437         1
433         1
432         1
430         1
426         1
423         1
417         1
401         1
399         1
394         1
591         1
388         1
387         1
379         1
373         1
369         1
365         1
362         1
361         1
360         1
